SS	PromoterDistance	DistTerm	Distance	sameStrand	DownDistance	sameDownStrand	AAAA/TTTT	AAAC/GTTT	AAAG/CTTT	AAAT/ATTT	AACA/TGTT	AACC/GGTT	AACG/CGTT	AACT/AGTT	AAGA/TCTT	AAGC/GCTT	AAGG/CCTT	AAGT/ACTT	AATA/TATT	AATC/GATT	AATG/CATT	AATT/AATT	ACAA/TTGT	ACAC/GTGT	ACAG/CTGT	ACAT/ATGT	ACCA/TGGT	ACCC/GGGT	ACCG/CGGT	ACCT/AGGT	ACGA/TCGT	ACGC/GCGT	ACGG/CCGT	ACGT/ACGT	ACTA/TAGT	ACTC/GAGT	ACTG/CAGT	AGAA/TTCT	AGAC/GTCT	AGAG/CTCT	AGAT/ATCT	AGCA/TGCT	AGCC/GGCT	AGCG/CGCT	AGCT/AGCT	AGGA/TCCT	AGGC/GCCT	AGGG/CCCT	AGTA/TACT	AGTC/GACT	AGTG/CACT	ATAA/TTAT	ATAC/GTAT	ATAG/CTAT	ATAT/ATAT	ATCA/TGAT	ATCC/GGAT	ATCG/CGAT	ATGA/TCAT	ATGC/GCAT	ATGG/CCAT	ATTA/TAAT	ATTC/GAAT	ATTG/CAAT	CAAA/TTTG	CAAC/GTTG	CAAG/CTTG	CACA/TGTG	CACC/GGTG	CACG/CGTG	CAGA/TCTG	CAGC/GCTG	CAGG/CCTG	CATA/TATG	CATC/GATG	CATG/CATG	CCAA/TTGG	CCAC/GTGG	CCAG/CTGG	CCCA/TGGG	CCCC/GGGG	CCCG/CGGG	CCGA/TCGG	CCGC/GCGG	CCGG/CCGG	CCTA/TAGG	CCTC/GAGG	CGAA/TTCG	CGAC/GTCG	CGAG/CTCG	CGCA/TGCG	CGCC/GGCG	CGCG/CGCG	CGGA/TCCG	CGGC/GCCG	CGTA/TACG	CGTC/GACG	CTAA/TTAG	CTAC/GTAG	CTAG/CTAG	CTCA/TGAG	CTCC/GGAG	CTGA/TCAG	CTGC/GCAG	CTTA/TAAG	CTTC/GAAG	GAAA/TTTC	GAAC/GTTC	GACA/TGTC	GACC/GGTC	GAGA/TCTC	GAGC/GCTC	GATA/TATC	GATC/GATC	GCAA/TTGC	GCAC/GTGC	GCCA/TGGC	GCCC/GGGC	GCGA/TCGC	GCGC/GCGC	GCTA/TAGC	GGAA/TTCC	GGAC/GTCC	GGCA/TGCC	GGCC/GGCC	GGGA/TCCC	GGTA/TACC	GTAA/TTAC	GTAC/GTAC	GTCA/TGAC	GTGA/TCAC	GTTA/TAAC	TAAA/TTTA	TACA/TGTA	TAGA/TCTA	TATA/TATA	TCAA/TTGA	TCCA/TGGA	TCGA/TCGA	TGAA/TTCA	TGCA/TGCA	TTAA/TTAA
-11.2	-22	1000	0	1	0	1	0.027027027	0	0.013513514	0.027027028	0	0	0	0	0	0.013513514	0	0.013513514	0	0.013513514	0.013513514	0.027027027	0	0	0	0	0	0	0.013513514	0	0	0	0.013513514	0	0	0	0.013513514	0.027027028	0	0	0	0.013513514	0.013513514	0	0	0	0.013513514	0	0.027027028	0	0	0.013513514	0	0	0	0.013513514	0.013513514	0	0.013513514	0.027027027	0.027027027	0	0.013513514	0.040540541	0	0	0	0	0	0.013513514	0.013513514	0	0.013513514	0.013513514	0.013513514	0.013513514	0.013513514	0	0.013513514	0	0	0.013513514	0	0.027027027	0	0	0	0	0	0.013513514	0.027027027	0.040540541	0	0	0.013513514	0	0	0	0	0	0	0.013513514	0	0.013513514	0	0.013513514	0.013513514	0	0	0	0.013513514	0.013513514	0	0	0.027027027	0	0.027027028	0	0.013513514	0.013513514	0	0	0	0	0	0.013513514	0.013513514	0.013513514	0.013513514	0	0.013513514	0	0.027027027	0	0	0	0	0.027027027	0	0.013513514	0.013513514	0
-10.3	-431	1000	0	0	0	0	0.032258064	0	0.032258064	0.016129032	0	0	0	0.016129032	0.016129032	0.032258065	0.016129032	0.016129032	0	0.016129032	0	0	0	0	0	0	0	0	0.016129032	0	0	0	0	0	0	0	0	0.048387097	0	0.016129032	0	0.032258065	0.016129032	0.016129032	0	0	0.016129032	0	0	0	0	0	0	0	0	0	0.016129032	0	0	0	0	0	0	0	0	0	0	0	0.016129032	0	0.016129032	0.032258064	0	0	0	0	0	0	0.016129032	0.016129032	0	0.016129032	0	0.048387097	0.032258065	0	0	0.016129032	0	0	0	0.016129032	0.016129032	0.032258064	0.032258064	0	0	0	0	0	0	0.016129032	0	0.032258065	0	0.048387097	0.016129032	0.016129032	0	0	0.032258065	0	0	0	0	0.016129032	0	0.016129032	0.016129032	0	0	0.016129032	0	0.032258064	0	0.016129032	0	0	0	0	0	0	0.032258064	0	0	0	0	0	0	0	0	0.016129032
-13.8	-429	1000	0	0	0	0	0	0	0.009615385	0.009615385	0.009615385	0	0	0	0.009615385	0.009615385	0.009615385	0	0	0.009615385	0	0	0	0.009615385	0	0	0.019230769	0.009615385	0.009615385	0	0	0	0.019230769	0	0	0.009615385	0.009615385	0.009615385	0	0	0.028846154	0.009615385	0.019230769	0.009615385	0	0.009615385	0.009615385	0.009615385	0.01923077	0	0	0.009615385	0.009615385	0.009615385	0	0.009615385	0.009615385	0.009615385	0.009615385	0.028846154	0.009615385	0	0	0	0	0	0	0	0.019230769	0.019230769	0.009615385	0.009615385	0.009615385	0.009615385	0.01923077	0.009615385	0	0.019230769	0.028846154	0.019230769	0	0.028846154	0	0.028846154	0	0	0.009615385	0	0.009615385	0.009615385	0.019230769	0.01923077	0	0	0.009615385	0	0	0.009615385	0.009615385	0	0.009615385	0.009615385	0	0.009615385	0	0.019230769	0	0.009615385	0	0.01923077	0.009615385	0	0.019230769	0	0	0	0	0.028846154	0.019230769	0	0.019230769	0.019230769	0.009615385	0.009615385	0	0.019230769	0	0	0	0	0.009615385	0	0.01923077	0	0.009615385	0	0	0.01923077	0	0	0	0
-10.7	-201	1000	0	1	0	1	0	0	0	0	0.011627907	0	0.011627907	0.011627907	0.011627907	0	0.011627907	0.011627907	0	0	0	0.011627907	0	0.011627907	0.011627907	0	0	0	0.011627907	0.023255814	0	0.023255814	0	0.011627907	0.011627907	0	0.011627907	0.011627907	0.023255814	0.011627907	0	0	0	0.011627907	0	0	0	0	0	0.011627907	0.011627907	0.011627907	0	0.011627907	0	0	0	0.011627907	0	0.011627907	0	0	0.011627907	0.011627907	0	0	0.023255814	0.011627907	0.034883721	0.011627907	0.011627907	0	0.011627907	0.011627907	0	0	0.011627907	0.023255814	0.011627907	0.011627907	0	0.011627907	0	0.023255814	0.011627907	0	0	0	0	0.011627907	0.034883721	0.023255814	0	0.011627907	0.011627907	0	0.023255814	0.011627907	0	0	0	0	0	0.011627907	0	0	0	0.011627907	0	0	0.011627907	0.011627907	0.011627907	0	0.023255814	0.023255814	0.023255814	0.023255814	0	0.011627907	0	0.023255814	0	0.034883721	0	0	0	0	0	0.011627907	0.011627907	0.023255814	0	0	0.011627907	0	0	0.011627907	0.011627907	0	0	0
-31.2	-1000	1000	0	1	0	1	0	0	0	0.01369863	0	0	0.01369863	0	0	0	0	0	0	0.02739726	0	0	0	0	0.01369863	0	0.01369863	0.01369863	0.01369863	0	0	0.01369863	0	0	0	0.01369863	0	0.01369863	0	0	0	0.02739726	0.01369863	0.02739726	0	0	0	0.01369863	0	0	0.01369863	0	0	0	0	0	0	0.04109589	0	0	0.01369863	0	0.01369863	0	0	0.01369863	0	0	0.02739726	0	0.01369863	0.068493151	0.01369863	0	0.01369863	0	0	0.02739726	0.04109589	0.01369863	0	0	0.01369863	0.01369863	0.01369863	0	0	0.01369863	0.01369863	0	0	0.05479452	0	0.01369863	0.02739726	0	0	0	0	0	0	0.02739726	0.01369863	0.02739726	0	0	0.01369863	0	0.01369863	0.01369863	0	0.01369863	0	0	0.01369863	0	0.04109589	0.01369863	0.02739726	0.01369863	0	0	0	0.01369863	0	0	0	0	0	0.01369863	0	0	0	0	0	0	0	0.01369863	0.01369863	0	0	0
-9.5	-1000	1000	0	0	0	0	0.008298755	0.008298756	0.012448133	0.008298756	0.004149378	0	0.004149378	0.012448133	0.008298755	0	0.008298755	0	0	0.004149378	0.020746888	0.004149378	0.004149378	0	0.008298756	0.004149378	0.012448133	0.012448133	0.008298756	0.008298755	0.004149378	0.01659751	0.008298756	0.008298755	0	0.004149378	0.01659751	0.004149378	0.01659751	0.004149378	0.004149378	0	0	0	0	0.004149378	0.008298755	0.008298755	0	0.004149378	0.004149378	0	0.020746888	0	0	0.016597511	0.012448133	0.008298755	0.008298755	0.012448133	0.012448133	0.012448133	0.008298755	0.004149378	0.024896266	0	0.004149378	0	0.016597511	0.008298755	0.012448133	0	0.020746888	0.008298756	0.008298755	0	0.016597511	0.012448133	0.012448133	0.012448133	0.012448133	0.008298756	0.004149378	0.012448133	0.008298755	0	0	0.004149378	0.008298756	0.004149378	0.01659751	0.029045644	0.008298755	0.004149378	0.01659751	0.012448133	0.01659751	0	0.004149378	0	0	0	0.012448133	0.016597511	0	0	0.004149378	0.012448133	0.008298756	0.012448133	0.004149378	0	0.012448133	0.008298755	0.008298756	0.004149378	0.020746888	0.008298755	0.008298756	0.012448133	0	0.008298755	0.004149378	0.008298755	0.008298755	0.008298755	0.012448133	0.004149378	0	0.012448133	0.012448133	0	0	0.004149378	0.004149378	0	0.004149378	0.008298755	0.004149378	0.008298755	0.008298755	0.004149378
-14.3	0	159	0	1	0	1	0.004878049	0.009756098	0.009756098	0.014634147	0.004878049	0.004878049	0.029268293	0	0.004878049	0.014634147	0.009756098	0	0.004878049	0.004878049	0	0.004878049	0	0	0.004878049	0	0	0	0.014634147	0.004878049	0.014634147	0.004878049	0.014634147	0.009756098	0	0.004878049	0	0.019512195	0.004878049	0.009756098	0	0.019512195	0.004878049	0.009756098	0.009756098	0.004878049	0.004878049	0	0	0.004878049	0	0.004878049	0	0	0.004878049	0	0	0.019512196	0.014634147	0.029268292	0	0	0.004878049	0	0.004878049	0.014634146	0.004878049	0	0.004878049	0.009756098	0.009756098	0.024390244	0	0.004878049	0.009756098	0.014634146	0.014634146	0.004878049	0.004878049	0	0	0.004878049	0.009756098	0.043902439	0	0	0.004878049	0.009756098	0.004878049	0.009756098	0.024390244	0.03902439	0.004878049	0.009756098	0.039024391	0.004878049	0.009756098	0	0.004878049	0	0.009756098	0.009756098	0	0.024390244	0.004878049	0.009756098	0.019512195	0.009756098	0	0.004878049	0.014634146	0.014634147	0.004878049	0	0.004878049	0.004878049	0.024390244	0.004878049	0.024390244	0.004878049	0	0.004878049	0	0.019512196	0.004878049	0	0.004878049	0.004878049	0	0.009756098	0.004878049	0.004878049	0.009756098	0	0.004878049	0	0.004878049	0	0	0.004878049	0	0.004878049
-12.4	-171	1000	0	1	0	1	0	0.011764706	0.011764706	0.023529412	0.011764706	0	0.035294118	0	0	0.035294118	0	0	0	0	0	0.035294118	0	0	0.011764706	0	0	0	0	0	0.011764706	0.011764706	0.023529412	0	0	0	0	0.023529412	0	0	0	0.011764706	0.023529412	0.011764706	0	0	0.023529412	0.023529412	0	0	0	0.023529412	0	0	0	0	0.023529412	0	0.023529412	0	0	0.011764706	0	0.035294118	0.011764706	0	0.011764706	0	0	0	0.023529412	0	0.023529412	0.011764706	0.011764706	0	0	0	0.011764706	0	0	0	0.011764706	0	0	0	0.023529412	0.011764706	0	0.011764706	0	0	0	0.011764706	0.023529412	0	0.023529412	0	0	0	0.023529412	0	0.011764706	0.011764706	0	0.011764706	0.023529412	0.023529412	0	0	0	0.011764706	0.011764706	0	0.035294118	0	0.011764706	0	0	0	0	0.011764706	0	0.035294118	0	0.023529412	0	0	0	0.023529412	0	0.011764706	0	0	0	0	0.023529412	0	0	0.011764706	0	0
-16.7	-328	193	0	1	0	1	0.012987013	0	0	0.025974026	0.012987013	0	0.012987013	0	0	0	0	0	0	0.025974026	0.025974026	0	0	0	0	0.012987013	0	0	0	0	0.012987013	0.025974026	0	0.012987013	0	0	0.012987013	0.012987013	0	0	0	0	0	0	0	0	0	0	0.012987013	0	0	0	0.012987013	0	0	0.038961039	0.025974026	0	0.038961039	0	0.025974026	0.012987013	0.012987013	0	0	0.012987013	0	0	0	0.012987013	0.012987013	0	0	0.012987013	0.012987013	0.012987013	0.012987013	0	0.025974026	0.025974026	0.012987013	0.025974026	0	0.038961039	0	0	0	0.025974026	0	0	0	0.051948052	0.012987013	0	0.012987013	0.025974026	0.012987013	0	0	0	0	0	0	0	0	0	0.012987013	0.012987013	0	0	0	0	0	0.012987013	0	0	0.038961039	0.025974026	0.012987013	0	0	0	0	0	0.012987013	0.025974026	0	0.025974026	0.012987013	0.012987013	0.012987013	0	0.012987013	0.012987013	0	0	0	0	0	0	0	0
-44.2	-23	35	0	0	57	0	0.011764706	0.005882353	0.017647059	0.005882353	0.011764706	0.011764706	0.005882353	0	0	0.005882353	0.011764706	0.005882353	0.005882353	0.005882353	0.011764706	0.005882353	0.011764706	0.005882353	0.005882353	0	0	0.017647059	0.029411765	0	0	0.017647059	0.011764706	0	0	0	0.005882353	0.005882353	0.005882353	0.011764706	0.005882353	0	0.011764706	0.011764706	0	0	0.005882353	0.011764706	0.011764706	0	0	0.005882353	0.011764706	0	0.005882353	0.011764706	0.017647059	0.011764706	0.011764706	0.011764706	0.017647059	0.005882353	0.011764706	0.011764706	0.017647059	0.011764706	0	0.005882353	0.023529412	0.005882353	0.011764706	0.011764706	0.005882353	0.005882353	0.011764706	0.005882353	0.005882353	0.011764706	0.023529412	0.029411765	0.011764706	0.011764706	0.005882353	0.011764706	0.005882353	0	0	0	0.005882353	0	0.017647059	0	0	0	0	0.005882353	0.011764706	0	0	0	0	0.005882353	0	0.005882353	0	0.005882353	0.005882353	0.005882353	0.005882353	0.005882353	0.011764706	0.005882353	0.017647059	0.005882353	0.011764706	0.005882353	0.011764706	0.017647059	0	0	0	0.011764706	0	0.011764706	0.005882353	0.017647059	0.005882353	0	0.005882353	0.011764706	0.011764706	0.005882353	0.005882353	0	0	0	0.011764706	0.017647059	0.005882353	0.011764706	0	0.005882353
